evidence_id,project_id,evidence_type,title,file_name,mime_type,file_size_bytes,sha256_hash,phash,capture_timestamp,gps_latitude,gps_longitude,gps_distance_to_project_m,device_make,device_model,source
EV-DEMO-00001,MPLADS-DEMO-000001,PROGRESS_PHOTO,Site Inspection Photograph - Construction Stage - Village-Kalyanpur,MPLADS-DEMO-000001_progress_stage.jpg,image/jpeg,202840,3c65b372ed897a918e70fe6f2a7df1a95637b6bd0c0574e7ba2fc3c9782d6ad5,91b7584a2265b1f5,2023-03-20 11:24:15,22.303984,70.802363,17.3,Samsung,SM-A525F,eSAKSHI Mobile App
EV-DEMO-00002,MPLADS-DEMO-000001,SITE_IMAGE,Geo-tagged Asset Verification Photograph - Village-Kalyanpur,MPLADS-DEMO-000001_verification_stage.jpg,image/jpeg,227594,cd3313dcf412bc48ba7ee7cc6fca938355789a2f5db13ed53a2661ce5e6bd14e,dcf4bb99f4bea973,2023-06-26 15:42:10,22.303844,70.802221,8.5,Samsung,SM-A525F,eSAKSHI Mobile App
EV-DEMO-00003,MPLADS-DEMO-000002,PROGRESS_PHOTO,Site Inspection Photograph - Construction Stage - Village-Kalyanpur,MPLADS-DEMO-000002_progress_stage.jpg,image/jpeg,223761,056763d0191b68f11716ff34c29efd4cb0bb404af09458364fc88e5c50536ebe,97b750923ceb3ffd,2023-05-29 11:24:15,22.303921,70.80239,17.6,Samsung,SM-A525F,eSAKSHI Mobile App
EV-DEMO-00004,MPLADS-DEMO-000002,COMPLETION_PHOTO,Geo-tagged Asset Verification Photograph - Village-Kalyanpur,MPLADS-DEMO-000002_verification_stage.jpg,image/jpeg,371515,41258647650c99030fd45332b2387ad9401985c2f732f9f6f03ed86ffa014397,4da4f9fc3c6da5d7,2023-09-25 15:42:10,22.304146,70.801927,37.9,Samsung,SM-A525F,eSAKSHI Mobile App
EV-DEMO-00005,MPLADS-DEMO-000003,PROGRESS_PHOTO,Site Inspection Photograph - Construction Stage - Village-Kalyanpur,MPLADS-DEMO-000003_progress_stage.jpg,image/jpeg,399579,64a784da3ce585e1157486f9cc35368e81cc6a29690bf9fe5ecb853edfa55e03,4164d8399f767c45,2023-05-25 11:24:15,22.304199,70.80234,10.7,Vivo,Vivo V23 5G,eSAKSHI Mobile App
EV-DEMO-00006,MPLADS-DEMO-000003,COMPLETION_PHOTO,Geo-tagged Asset Verification Photograph - Village-Kalyanpur,MPLADS-DEMO-000003_verification_stage.jpg,image/jpeg,333830,ebcf36de5e41f8d85f528ed5a555440645ed4dcc9841db8521d8acb8cd35ca39,92e5dfe8cb1855fe,2023-09-26 15:42:10,22.304051,70.802154,15.1,Vivo,Vivo V23 5G,eSAKSHI Mobile App
EV-DEMO-00007,MPLADS-DEMO-000004,PROGRESS_PHOTO,Site Inspection Photograph - Construction Stage - Village-Sundarpur,MPLADS-DEMO-000004_progress_stage.jpg,image/jpeg,268463,46761dc6875bc81872124040f2d7521e54c2ad9705abc57b5b98bb65bec394d6,f2a74de452e6b438,2023-10-23 11:24:15,22.304201,70.802271,11.6,Vivo,Vivo V23 5G,eSAKSHI Mobile App
EV-DEMO-00008,MPLADS-DEMO-000004,COMPLETION_PHOTO,Geo-tagged Asset Verification Photograph - Village-Sundarpur,MPLADS-DEMO-000004_verification_stage.jpg,image/jpeg,349989,ed3ac1e6de54d6edef0f93c47b8bd65405989b787d64392752cdc77e8e397d23,5ed34fe53a096533,2023-11-25 15:42:10,22.303937,70.802149,23.9,Vivo,Vivo V23 5G,eSAKSHI Mobile App
EV-DEMO-00009,MPLADS-DEMO-000005,PROGRESS_PHOTO,Site Inspection Photograph - Construction Stage - Village-Sundarpur,MPLADS-DEMO-000005_progress_stage.jpg,image/jpeg,283902,87a9e67ba2cacfa8f2e64a0ffc65e7c5d5433b014ed21dd40dc9d3a3ac9118ad,9cfbac6e7687a66e,2023-11-04 11:24:15,22.304144,70.802225,11.8,Realme,Realme 9 Pro,eSAKSHI Mobile App
EV-DEMO-00010,MPLADS-DEMO-000005,COMPLETION_PHOTO,Geo-tagged Asset Verification Photograph - Village-Sundarpur,MPLADS-DEMO-000005_verification_stage.jpg,image/jpeg,221667,c130bb4cf0bd04ceb188d9fa33c138acfcd2be3006845aae6fdc3f2542ff2dd9,08577eb1924770d3,2024-01-22 15:42:10,22.304227,70.80244,14.1,Realme,Realme 9 Pro,eSAKSHI Mobile App
