note_id,case_id,author,author_role,created_at,note_text,action_taken
NOTE-DEMO-000001,CASE-MPLADS-DEMO-000001,R. Verma (Auditor),AUDITOR,2024-04-11T12:30:00,Desk review initiated for project MPLADS-DEMO-000001. Sanctioned at ₹65.0 Lakhs; recorded expenditure is only ₹8.2 Lakhs (12.6% utilization ratio) after 500+ days.,Financial utilization ledgers retrieved
NOTE-DEMO-000002,CASE-MPLADS-DEMO-000001,R. Verma (Auditor),AUDITOR,2024-04-15T15:30:00,Comparative analysis against peer community halls in Rajkot shows average completion duration of 180 days with >85% fund utilization. Stalled status requires human verification.,Benchmarked against district sector averages
NOTE-DEMO-000003,CASE-MPLADS-DEMO-000001,R. Verma (Auditor),AUDITOR,2024-04-19T12:30:00,"Requested physical site verification report from Executive Engineer, PWD Rajkot Division, to confirm actual on-ground execution stage.",Field verification notice issued
NOTE-DEMO-000004,CASE-MPLADS-DEMO-000002,P. Patel (Senior Audit Officer),SENIOR_AUDITOR,2024-04-12T15:30:00,Spatial deduplication engine flagged potential cluster with peer project MPLADS-DEMO-000003 located ~21 meters away in Village-Kalyanpur.,GIS coordinate overlay generated
NOTE-DEMO-000005,CASE-MPLADS-DEMO-000002,P. Patel (Senior Audit Officer),SENIOR_AUDITOR,2024-04-16T11:30:00,"NLP textual similarity between DPR work descriptions is 96.4%. Both orders cite identical RCC framing, boundary wall construction, and sanitary fittings.",Lexical similarity comparison recorded
NOTE-DEMO-000006,CASE-MPLADS-DEMO-000002,P. Patel (Senior Audit Officer),SENIOR_AUDITOR,2024-04-20T14:30:00,Field verification notice issued to inspect whether two independent facilities exist or if single asset was billed against multiple sanction orders.,Site inspection scheduled
NOTE-DEMO-000007,CASE-MPLADS-DEMO-000004,Dr. K. Rao (Lead Forensic Auditor),LEAD_INVESTIGATOR,2024-04-13T12:30:00,"Procurement analysis identified cluster of 3 road works (MPLADS-DEMO-000004, 000005, 000006) in Village-Sundarpur sanctioned within 72 hours.",Procurement cluster indexed
NOTE-DEMO-000008,CASE-MPLADS-DEMO-000004,Dr. K. Rao (Lead Forensic Auditor),LEAD_INVESTIGATOR,2024-04-17T11:30:00,"Each individual work is valued between ₹4.88L and ₹4.95L, directly below the ₹5.00 Lakhs statutory ceiling mandating open competitive e-tendering.",Statutory procurement ceiling check executed
NOTE-DEMO-000009,CASE-MPLADS-DEMO-000004,Dr. K. Rao (Lead Forensic Auditor),LEAD_INVESTIGATOR,2024-04-21T14:30:00,All 3 contracts awarded to Apex Infrastructure Ltd via quotation. Audit review initiated to verify justification for piecemeal procurement.,Vendor tender documentation requisitioned
NOTE-DEMO-000010,CASE-MPLADS-DEMO-000007,R. Verma (Auditor),AUDITOR,2024-04-14T15:30:00,Asset Evidence Intelligence engine flagged exact cryptographic hash collision (SHA-256 match) between completion photo for MPLADS-DEMO-000007 and MPLADS-DEMO-000008.,Cryptographic hash collision verified
NOTE-DEMO-000011,CASE-MPLADS-DEMO-000007,R. Verma (Auditor),AUDITOR,2024-04-18T12:30:00,"Projects are located 14 km apart (Village-Sundarpur vs Village-Navagam) under different executing divisions, yet submit identical photo files.",Photographic EXIF comparison completed
NOTE-DEMO-000012,CASE-MPLADS-DEMO-000007,R. Verma (Auditor),AUDITOR,2024-04-22T12:30:00,Re-inspection ordered. Dispatched field verification officer to upload fresh timestamped geo-tagged photographs from both asset locations.,Re-inspection notice dispatched
NOTE-DEMO-000013,CASE-MPLADS-DEMO-000010,Dr. K. Rao (Lead Forensic Auditor),LEAD_INVESTIGATOR,2024-04-15T15:30:00,"Multi-modal fusion engine flagged acute compound risk across financial (2.02x cost elevation), temporal (5-day completion velocity), and network domains.",Cross-domain audit dossier compiled
NOTE-DEMO-000014,CASE-MPLADS-DEMO-000010,Dr. K. Rao (Lead Forensic Auditor),LEAD_INVESTIGATOR,2024-04-19T12:30:00,"Evidence analysis reveals progress photo reuses hash from MPLADS-DEMO-000007, while completion photo EXIF GPS indicates coordinates 23.4 km from site.",Evidence discrepancies cataloged
NOTE-DEMO-000015,CASE-MPLADS-DEMO-000010,Dr. K. Rao (Lead Forensic Auditor),LEAD_INVESTIGATOR,2024-04-23T15:30:00,Case escalated to Lead Forensic Auditor and Senior District Magistrate. Joint multi-departmental physical inspection mandated.,Escalated to State Audit Directorate
NOTE-DEMO-000016,CASE-MPLADS-DEMO-000401,P. Patel (Senior Audit Officer),SENIOR_AUDITOR,2024-04-16T11:30:00,Initiated comprehensive audit desk review for project MPLADS-DEMO-000401 in district Nagpur. Cross-referenced initial administrative sanction against public procurement schedules.,Administrative records retrieved and indexed
NOTE-DEMO-000017,CASE-MPLADS-DEMO-000401,P. Patel (Senior Audit Officer),SENIOR_AUDITOR,2024-04-20T13:30:00,Detailed analysis identified compound indicators: work value is within statutory procurement threshold limits with photographic asset overlap. Field verification team instructed to obtain physical measurement sheet.,Dispatched field verification notice to district executive engineer
NOTE-DEMO-000018,CASE-MPLADS-DEMO-000401,P. Patel (Senior Audit Officer),SENIOR_AUDITOR,2024-04-24T12:30:00,Under active evaluation. Awaiting response from regional PWD division regarding revised technical estimate.,Follow-up reminder transmitted
NOTE-DEMO-000019,CASE-MPLADS-DEMO-000402,Dr. K. Rao (Lead Forensic Auditor),LEAD_INVESTIGATOR,2024-04-17T12:30:00,Initiated comprehensive audit desk review for project MPLADS-DEMO-000402 in district Nagpur. Cross-referenced initial administrative sanction against public procurement schedules.,Administrative records retrieved and indexed
NOTE-DEMO-000020,CASE-MPLADS-DEMO-000402,Dr. K. Rao (Lead Forensic Auditor),LEAD_INVESTIGATOR,2024-04-21T12:30:00,Detailed analysis identified compound indicators: work value is within statutory procurement threshold limits with photographic asset overlap. Field verification team instructed to obtain physical measurement sheet.,Dispatched field verification notice to district executive engineer
NOTE-DEMO-000021,CASE-MPLADS-DEMO-000402,Dr. K. Rao (Lead Forensic Auditor),LEAD_INVESTIGATOR,2024-04-25T14:30:00,"Due to unresolved evidence discrepancies between registered GPS coordinates and uploaded completion photo EXIF, case escalated for Senior District Magistrate review and multi-department joint physical verification.",Escalated to State Audit Directorate
NOTE-DEMO-000022,CASE-MPLADS-DEMO-000403,A. Sharma (District Monitoring Officer),DISTRICT_OFFICER,2024-04-18T12:30:00,Initiated comprehensive audit desk review for project MPLADS-DEMO-000403 in district Nagpur. Cross-referenced initial administrative sanction against public procurement schedules.,Administrative records retrieved and indexed
NOTE-DEMO-000023,CASE-MPLADS-DEMO-000403,A. Sharma (District Monitoring Officer),DISTRICT_OFFICER,2024-04-22T15:30:00,Detailed analysis identified compound indicators: work value is within statutory procurement threshold limits with photographic asset overlap. Field verification team instructed to obtain physical measurement sheet.,Dispatched field verification notice to district executive engineer
NOTE-DEMO-000024,CASE-MPLADS-DEMO-000403,A. Sharma (District Monitoring Officer),DISTRICT_OFFICER,2024-04-26T12:30:00,"Due to unresolved evidence discrepancies between registered GPS coordinates and uploaded completion photo EXIF, case escalated for Senior District Magistrate review and multi-department joint physical verification.",Escalated to State Audit Directorate
NOTE-DEMO-000025,CASE-MPLADS-DEMO-000404,R. Verma (Auditor),AUDITOR,2024-04-19T13:30:00,Initiated comprehensive audit desk review for project MPLADS-DEMO-000404 in district Nagpur. Cross-referenced initial administrative sanction against public procurement schedules.,Administrative records retrieved and indexed
NOTE-DEMO-000026,CASE-MPLADS-DEMO-000404,R. Verma (Auditor),AUDITOR,2024-04-23T12:30:00,Detailed analysis identified compound indicators: work value is within statutory procurement threshold limits with photographic asset overlap. Field verification team instructed to obtain physical measurement sheet.,Dispatched field verification notice to district executive engineer
NOTE-DEMO-000027,CASE-MPLADS-DEMO-000404,R. Verma (Auditor),AUDITOR,2024-04-27T14:30:00,Under active evaluation. Awaiting response from regional PWD division regarding revised technical estimate.,Follow-up reminder transmitted
NOTE-DEMO-000028,CASE-MPLADS-DEMO-000405,P. Patel (Senior Audit Officer),SENIOR_AUDITOR,2024-04-20T15:30:00,Initiated comprehensive audit desk review for project MPLADS-DEMO-000405 in district Nagpur. Cross-referenced initial administrative sanction against public procurement schedules.,Administrative records retrieved and indexed
NOTE-DEMO-000029,CASE-MPLADS-DEMO-000405,P. Patel (Senior Audit Officer),SENIOR_AUDITOR,2024-04-24T15:30:00,Detailed analysis identified compound indicators: work value is within statutory procurement threshold limits with photographic asset overlap. Field verification team instructed to obtain physical measurement sheet.,Dispatched field verification notice to district executive engineer
NOTE-DEMO-000030,CASE-MPLADS-DEMO-000405,P. Patel (Senior Audit Officer),SENIOR_AUDITOR,2024-04-28T13:30:00,"Due to unresolved evidence discrepancies between registered GPS coordinates and uploaded completion photo EXIF, case escalated for Senior District Magistrate review and multi-department joint physical verification.",Escalated to State Audit Directorate
NOTE-DEMO-000031,CASE-MPLADS-DEMO-000406,Dr. K. Rao (Lead Forensic Auditor),LEAD_INVESTIGATOR,2024-04-21T15:30:00,Initiated comprehensive audit desk review for project MPLADS-DEMO-000406 in district Nagpur. Cross-referenced initial administrative sanction against public procurement schedules.,Administrative records retrieved and indexed
NOTE-DEMO-000032,CASE-MPLADS-DEMO-000406,Dr. K. Rao (Lead Forensic Auditor),LEAD_INVESTIGATOR,2024-04-25T12:30:00,Detailed analysis identified compound indicators: work value is within statutory procurement threshold limits with photographic asset overlap. Field verification team instructed to obtain physical measurement sheet.,Dispatched field verification notice to district executive engineer
NOTE-DEMO-000033,CASE-MPLADS-DEMO-000406,Dr. K. Rao (Lead Forensic Auditor),LEAD_INVESTIGATOR,2024-04-29T11:30:00,Under active evaluation. Awaiting response from regional PWD division regarding revised technical estimate.,Follow-up reminder transmitted
NOTE-DEMO-000034,CASE-MPLADS-DEMO-000407,A. Sharma (District Monitoring Officer),DISTRICT_OFFICER,2024-04-22T12:30:00,Initiated comprehensive audit desk review for project MPLADS-DEMO-000407 in district Nagpur. Cross-referenced initial administrative sanction against public procurement schedules.,Administrative records retrieved and indexed
NOTE-DEMO-000035,CASE-MPLADS-DEMO-000407,A. Sharma (District Monitoring Officer),DISTRICT_OFFICER,2024-04-26T15:30:00,Detailed analysis identified compound indicators: work value is within statutory procurement threshold limits with photographic asset overlap. Field verification team instructed to obtain physical measurement sheet.,Dispatched field verification notice to district executive engineer
NOTE-DEMO-000036,CASE-MPLADS-DEMO-000407,A. Sharma (District Monitoring Officer),DISTRICT_OFFICER,2024-04-30T11:30:00,Under active evaluation. Awaiting response from regional PWD division regarding revised technical estimate.,Follow-up reminder transmitted
NOTE-DEMO-000037,CASE-MPLADS-DEMO-000408,R. Verma (Auditor),AUDITOR,2024-04-23T15:30:00,Initiated comprehensive audit desk review for project MPLADS-DEMO-000408 in district Nagpur. Cross-referenced initial administrative sanction against public procurement schedules.,Administrative records retrieved and indexed
NOTE-DEMO-000038,CASE-MPLADS-DEMO-000408,R. Verma (Auditor),AUDITOR,2024-04-27T15:30:00,Detailed analysis identified compound indicators: work value is within statutory procurement threshold limits with photographic asset overlap. Field verification team instructed to obtain physical measurement sheet.,Dispatched field verification notice to district executive engineer
NOTE-DEMO-000039,CASE-MPLADS-DEMO-000408,R. Verma (Auditor),AUDITOR,2024-05-01T11:30:00,"Due to unresolved evidence discrepancies between registered GPS coordinates and uploaded completion photo EXIF, case escalated for Senior District Magistrate review and multi-department joint physical verification.",Escalated to State Audit Directorate
NOTE-DEMO-000040,CASE-MPLADS-DEMO-000409,P. Patel (Senior Audit Officer),SENIOR_AUDITOR,2024-04-24T14:30:00,Initiated comprehensive audit desk review for project MPLADS-DEMO-000409 in district Nagpur. Cross-referenced initial administrative sanction against public procurement schedules.,Administrative records retrieved and indexed
NOTE-DEMO-000041,CASE-MPLADS-DEMO-000409,P. Patel (Senior Audit Officer),SENIOR_AUDITOR,2024-04-28T13:30:00,Detailed analysis identified compound indicators: work value is within statutory procurement threshold limits with photographic asset overlap. Field verification team instructed to obtain physical measurement sheet.,Dispatched field verification notice to district executive engineer
NOTE-DEMO-000042,CASE-MPLADS-DEMO-000409,P. Patel (Senior Audit Officer),SENIOR_AUDITOR,2024-05-02T15:30:00,Under active evaluation. Awaiting response from regional PWD division regarding revised technical estimate.,Follow-up reminder transmitted
NOTE-DEMO-000043,CASE-MPLADS-DEMO-000410,Dr. K. Rao (Lead Forensic Auditor),LEAD_INVESTIGATOR,2024-04-25T13:30:00,Initiated comprehensive audit desk review for project MPLADS-DEMO-000410 in district Nagpur. Cross-referenced initial administrative sanction against public procurement schedules.,Administrative records retrieved and indexed
NOTE-DEMO-000044,CASE-MPLADS-DEMO-000410,Dr. K. Rao (Lead Forensic Auditor),LEAD_INVESTIGATOR,2024-04-29T14:30:00,Detailed analysis identified compound indicators: work value is within statutory procurement threshold limits with photographic asset overlap. Field verification team instructed to obtain physical measurement sheet.,Dispatched field verification notice to district executive engineer
NOTE-DEMO-000045,CASE-MPLADS-DEMO-000410,Dr. K. Rao (Lead Forensic Auditor),LEAD_INVESTIGATOR,2024-05-03T14:30:00,Under active evaluation. Awaiting response from regional PWD division regarding revised technical estimate.,Follow-up reminder transmitted
NOTE-DEMO-000046,CASE-MPLADS-DEMO-000411,A. Sharma (District Monitoring Officer),DISTRICT_OFFICER,2024-04-26T14:30:00,Initiated comprehensive audit desk review for project MPLADS-DEMO-000411 in district Nagpur. Cross-referenced initial administrative sanction against public procurement schedules.,Administrative records retrieved and indexed
NOTE-DEMO-000047,CASE-MPLADS-DEMO-000411,A. Sharma (District Monitoring Officer),DISTRICT_OFFICER,2024-04-30T13:30:00,Detailed analysis identified compound indicators: work value is within statutory procurement threshold limits with photographic asset overlap. Field verification team instructed to obtain physical measurement sheet.,Dispatched field verification notice to district executive engineer
NOTE-DEMO-000048,CASE-MPLADS-DEMO-000411,A. Sharma (District Monitoring Officer),DISTRICT_OFFICER,2024-05-04T14:30:00,"Due to unresolved evidence discrepancies between registered GPS coordinates and uploaded completion photo EXIF, case escalated for Senior District Magistrate review and multi-department joint physical verification.",Escalated to State Audit Directorate
NOTE-DEMO-000049,CASE-MPLADS-DEMO-000412,R. Verma (Auditor),AUDITOR,2024-04-27T12:30:00,Initiated comprehensive audit desk review for project MPLADS-DEMO-000412 in district Nagpur. Cross-referenced initial administrative sanction against public procurement schedules.,Administrative records retrieved and indexed
