tender_id,project_id,tender_title,tender_reference_no,procurement_method,tender_stage,publishing_date,closing_date,award_date,estimated_tender_value,awarded_contract_value,winning_contractor_id,winning_contractor_name,bidder_count,status
TENDER-DEMO-00001,MPLADS-DEMO-000001,Procurement for Construction of Multipurpose Community Hall at Village-Kalyanpur,NIT/Pub/RAJ/2023/0002,E-Procurement,Notice Inviting Tender (NIT),2023-01-24,2023-02-14,2023-02-21,6721677.72,6500000.0,CONTRACTOR-DEMO-0001,Apex Infrastructure Ltd,3,Completed
TENDER-DEMO-00002,MPLADS-DEMO-000001,Procurement for Construction of Multipurpose Community Hall at Village-Kalyanpur,WO/RAJ/2023/0003,E-Procurement,Work Order Issued,2023-02-01,2023-02-10,2023-02-15,6500000.0,6500000.0,CONTRACTOR-DEMO-0001,Apex Infrastructure Ltd,1,Awarded
TENDER-DEMO-00003,MPLADS-DEMO-000002,Procurement for Development of Community Hall and Boundary Wall in Village-Kalyanpur,NIT/Pub/RAJ/2023/0004,E-Procurement,Notice Inviting Tender (NIT),2023-04-12,2023-04-29,2023-05-09,1852302.85,1850000.0,CONTRACTOR-DEMO-0001,Apex Infrastructure Ltd,7,Completed
TENDER-DEMO-00004,MPLADS-DEMO-000002,Procurement for Development of Community Hall and Boundary Wall in Village-Kalyanpur,WO/RAJ/2023/0005,E-Procurement,Work Order Issued,2023-04-26,2023-05-05,2023-05-10,1850000.0,1850000.0,CONTRACTOR-DEMO-0001,Apex Infrastructure Ltd,1,Awarded
TENDER-DEMO-00005,MPLADS-DEMO-000003,Procurement for Construction of Community Center and Peripheral Wall in Village-Kalyanpur,NIT/Pub/RAJ/2023/0006,E-Procurement,Notice Inviting Tender (NIT),2023-04-08,2023-04-24,2023-05-01,1924420.64,1900000.0,CONTRACTOR-DEMO-0002,Shree Ganesh Construction Co,3,Completed
TENDER-DEMO-00006,MPLADS-DEMO-000003,Procurement for Construction of Community Center and Peripheral Wall in Village-Kalyanpur,WO/RAJ/2023/0007,E-Procurement,Work Order Issued,2023-04-28,2023-05-08,2023-05-14,1900000.0,1900000.0,CONTRACTOR-DEMO-0002,Shree Ganesh Construction Co,1,Awarded
TENDER-DEMO-00007,MPLADS-DEMO-000004,Procurement for Interlocking Paver Block Road and Drain Channel Part 1 in Village-Sundarpur,NIT/Rur/RAJ/2023/0008,Quotation / Direct Award,Notice Inviting Tender (NIT),2023-08-26,2023-09-09,2023-09-18,517468.67,495000.0,CONTRACTOR-DEMO-0001,Apex Infrastructure Ltd,2,Completed
TENDER-DEMO-00008,MPLADS-DEMO-000004,Procurement for Interlocking Paver Block Road and Drain Channel Part 1 in Village-Sundarpur,WO/RAJ/2023/0009,E-Procurement,Work Order Issued,2023-09-04,2023-09-12,2023-09-16,495000.0,495000.0,CONTRACTOR-DEMO-0001,Apex Infrastructure Ltd,1,Awarded
TENDER-DEMO-00009,MPLADS-DEMO-000005,Procurement for Interlocking Paver Block Road and Drain Channel Part 2 in Village-Sundarpur,NIT/Rur/RAJ/2023/0010,Quotation / Direct Award,Notice Inviting Tender (NIT),2023-08-19,2023-09-01,2023-09-09,494162.8,492000.0,CONTRACTOR-DEMO-0001,Apex Infrastructure Ltd,2,Completed
TENDER-DEMO-00010,MPLADS-DEMO-000005,Procurement for Interlocking Paver Block Road and Drain Channel Part 2 in Village-Sundarpur,WO/RAJ/2023/0011,E-Procurement,Work Order Issued,2023-09-05,2023-09-13,2023-09-17,492000.0,492000.0,CONTRACTOR-DEMO-0001,Apex Infrastructure Ltd,1,Awarded
