project_id,dataset_version,data_source_type,source_basis,state,district,constituency,mp_name,sector,title,description,block,village,latitude,longitude,has_valid_coords,sanctioned_amount,estimated_cost,expenditure,unspent_balance,recommendation_date,sanction_date,start_date,completion_date,status,contractor_id,contractor_name,implementing_agency
MPLADS-DEMO-000001,DEMO-SYNTHETIC-v1,SYNTHETIC_DEMONSTRATION,MPLADS_STYLE_STRUCTURE,Gujarat,Rajkot,Rajkot,Representative Rajkot (Simulated),Community Infrastructure,Construction of Multipurpose Community Hall at Village-Kalyanpur,"Construction of Multipurpose Community Hall at Village-Kalyanpur with main auditorium, public sanitation block, and electrical wiring.",Block-1,Village-Kalyanpur,22.30392,70.80221,True,6500000.0,6500000.0,820000.0,5680000.0,2023-01-15,2023-02-10,2023-03-15,,In Progress,CONTRACTOR-DEMO-0001,Apex Infrastructure Ltd,Public Works Department (PWD)
MPLADS-DEMO-000002,DEMO-SYNTHETIC-v1,SYNTHETIC_DEMONSTRATION,MPLADS_STYLE_STRUCTURE,Gujarat,Rajkot,Rajkot,Representative Rajkot (Simulated),Community Infrastructure,Development of Community Hall and Boundary Wall in Village-Kalyanpur,"Comprehensive development of community center including boundary wall, RCC framing, and sanitary facilities at Village-Kalyanpur.",Block-1,Village-Kalyanpur,22.30394,70.80222,True,1850000.0,1850000.0,1780000.0,70000.0,2023-04-10,2023-05-05,2023-05-25,2023-11-15,Completed,CONTRACTOR-DEMO-0001,Apex Infrastructure Ltd,Public Works Department (PWD)
MPLADS-DEMO-000003,DEMO-SYNTHETIC-v1,SYNTHETIC_DEMONSTRATION,MPLADS_STYLE_STRUCTURE,Gujarat,Rajkot,Rajkot,Representative Rajkot (Simulated),Community Infrastructure,Construction of Community Center and Peripheral Wall in Village-Kalyanpur,"Comprehensive development of community center including boundary wall, RCC framing, and sanitary facilities at Village-Kalyanpur.",Block-1,Village-Kalyanpur,22.30412,70.80228,True,1900000.0,1900000.0,1820000.0,80000.0,2023-04-12,2023-05-08,2023-05-28,2023-11-20,Completed,CONTRACTOR-DEMO-0002,Shree Ganesh Construction Co,Public Works Department (PWD)
MPLADS-DEMO-000004,DEMO-SYNTHETIC-v1,SYNTHETIC_DEMONSTRATION,MPLADS_STYLE_STRUCTURE,Gujarat,Rajkot,Rajkot,Representative Rajkot (Simulated),Rural Connectivity & Roads,Interlocking Paver Block Road and Drain Channel Part 1 in Village-Sundarpur,Interlocking Paver Block Road and Drain Channel Part 1 in Village-Sundarpur with standardized edge kerbs and stormwater drain.,Block-1,Village-Sundarpur,22.3041,70.8023,True,495000.0,495000.0,495000.0,0.0,2023-08-25,2023-09-12,2023-09-22,2023-12-01,Completed,CONTRACTOR-DEMO-0001,Apex Infrastructure Ltd,Rural Engineering Service (RES)
MPLADS-DEMO-000005,DEMO-SYNTHETIC-v1,SYNTHETIC_DEMONSTRATION,MPLADS_STYLE_STRUCTURE,Gujarat,Rajkot,Rajkot,Representative Rajkot (Simulated),Rural Connectivity & Roads,Interlocking Paver Block Road and Drain Channel Part 2 in Village-Sundarpur,Interlocking Paver Block Road and Drain Channel Part 2 in Village-Sundarpur with standardized edge kerbs and stormwater drain.,Block-1,Village-Sundarpur,22.304139999999997,70.80234,True,492000.0,492000.0,492000.0,0.0,2023-08-26,2023-09-13,2023-09-23,2023-12-02,Completed,CONTRACTOR-DEMO-0001,Apex Infrastructure Ltd,Rural Engineering Service (RES)
MPLADS-DEMO-000006,DEMO-SYNTHETIC-v1,SYNTHETIC_DEMONSTRATION,MPLADS_STYLE_STRUCTURE,Gujarat,Rajkot,Rajkot,Representative Rajkot (Simulated),Rural Connectivity & Roads,Interlocking Paver Block Road and Drain Channel Part 3 in Village-Sundarpur,Interlocking Paver Block Road and Drain Channel Part 3 in Village-Sundarpur with standardized edge kerbs and stormwater drain.,Block-1,Village-Sundarpur,22.30418,70.80238,True,488000.0,488000.0,488000.0,0.0,2023-08-27,2023-09-14,2023-09-24,2023-12-03,Completed,CONTRACTOR-DEMO-0001,Apex Infrastructure Ltd,Rural Engineering Service (RES)
MPLADS-DEMO-000007,DEMO-SYNTHETIC-v1,SYNTHETIC_DEMONSTRATION,MPLADS_STYLE_STRUCTURE,Gujarat,Rajkot,Rajkot,Representative Rajkot (Simulated),Rural Connectivity & Roads,Widening of Rural Link Road connecting Village-Sundarpur,Widening of Rural Link Road connecting Village-Sundarpur to main district arterial corridor with asphalt surfacing.,Block-1,Village-Sundarpur,22.3042,70.8024,True,2400000.0,2400000.0,2400000.0,0.0,2023-06-05,2023-06-25,2023-07-15,2023-12-20,Completed,CONTRACTOR-DEMO-0001,Apex Infrastructure Ltd,Public Works Department (PWD)
MPLADS-DEMO-000008,DEMO-SYNTHETIC-v1,SYNTHETIC_DEMONSTRATION,MPLADS_STYLE_STRUCTURE,Gujarat,Rajkot,Rajkot,Representative Rajkot (Simulated),Rural Connectivity & Roads,Construction of CC Road and Drain in Village-Navagam,Construction of Cement Concrete (CC) Road and peripheral drain in Village-Navagam.,Block-3,Village-Navagam,22.4152,70.8954,True,2200000.0,2200000.0,2200000.0,0.0,2023-07-01,2023-07-20,2023-08-10,2024-01-15,Completed,CONTRACTOR-DEMO-0004,Aditya Buildcon Pvt Ltd,Rural Engineering Service (RES)
MPLADS-DEMO-000009,DEMO-SYNTHETIC-v1,SYNTHETIC_DEMONSTRATION,MPLADS_STYLE_STRUCTURE,Gujarat,Rajkot,Rajkot,Representative Rajkot (Simulated),Drinking Water & Sanitation,Installation of Community RO Water Purification Plant at Village-Sundarpur,Installation of Community RO Water Purification Plant at Village-Sundarpur with 1000 LPH capacity.,Block-1,Village-Sundarpur,22.30405,70.80232,True,750000.0,750000.0,720000.0,30000.0,2023-05-10,2023-06-01,2023-06-20,2023-09-30,Completed,CONTRACTOR-DEMO-0005,Shanti Contractors,Panchayati Raj Engineering Division
MPLADS-DEMO-000010,DEMO-SYNTHETIC-v1,SYNTHETIC_DEMONSTRATION,MPLADS_STYLE_STRUCTURE,Gujarat,Rajkot,Rajkot,Representative Rajkot (Simulated),Community Infrastructure,Construction of Solar-Powered Community Facility and High-Mast Lighting at Village-Sundarpur,"Comprehensive development of community center including boundary wall, RCC framing, and sanitary facilities with integrated solar high-mast illumination.",Block-1,Village-Sundarpur,22.30415,70.80235,True,4850000.0,2400000.0,4850000.0,0.0,2023-09-18,2023-10-02,2023-10-10,2023-10-15,Completed,CONTRACTOR-DEMO-0001,Apex Infrastructure Ltd,Public Works Department (PWD)
