project_id,state,district,constituency,mp_name,sector,title,description,village,block,latitude,longitude,sanctioned_amount,estimated_cost,expenditure,recommendation_date,sanction_date,start_date,completion_date,status,contractor_name,implementing_agency
MPL-00001,Gujarat,Rajkot,Rajkot,P. Rupala,Community Infrastructure,Installation of Public Shed and Seating Area at Village-71,Installation of Public Shed and Seating Area at Village-71,Village-71,Block-9,22.28048,70.66114,528393.0,513767.65,486618.97,2024-10-25,2024-11-23,2025-01-11,,In Progress,Bharat Engineers & Builders,Rural Engineering Service (RES)
MPL-00002,Uttar Pradesh,Varanasi,Varanasi,N. Modi,Renewable Energy,Installation of Solar LED High-Mast Lighting System at Village-140,Installation of Solar LED High-Mast Lighting System at Village-140,Village-140,Block-2,25.25096,82.88849,619949.0,602617.74,543558.7,2022-12-16,2023-01-07,2023-02-01,2023-06-28,Completed,Kisan Rural Developers,Public Works Department (PWD)
MPL-00003,Gujarat,Rajkot,Rajkot,P. Rupala,Rural Connectivity & Roads,Paver Block Road Construction in Village-68,Paver Block Road Construction in Village-68,Village-68,Block-2,22.33946,70.91071,545561.0,558094.27,469656.24,2024-01-12,2024-01-23,2024-02-12,2024-09-19,Completed,Local Panchayat Works Unit,Rural Engineering Service (RES)
MPL-00004,Bihar,Patna,Patna Sahib,R. S. Prasad,Rural Connectivity & Roads,Construction of CC Road and Drainage Channel at Village-60,Construction of CC Road and Drainage Channel at Village-60,Village-60,Block-3,25.55068,85.18865,3317147.0,3184793.31,2598626.69,2024-09-15,2024-10-12,2024-11-19,,In Progress,Shree Ganesh Construction Co,Minor Irrigation Division
MPL-00005,Bihar,Patna,Patna Sahib,R. S. Prasad,Drinking Water & Sanitation,Construction of Public Toilets and Sanitation Block in Village-98,Construction of Public Toilets and Sanitation Block in Village-98,Village-98,Block-5,25.51281,84.99723,883060.0,926287.85,787689.46,2024-07-12,2024-07-24,2024-08-22,2024-11-04,Completed,Kisan Rural Developers,Municipal Corporation
MPL-00006,Bihar,Patna,Patna Sahib,R. S. Prasad,Renewable Energy,Supply and installation of 25 Solar Street Lights in Village-55,Supply and installation of 25 Solar Street Lights in Village-55,Village-55,Block-10,25.48599,85.2111,843638.0,843573.15,814452.3,2024-09-27,2024-10-20,2024-12-03,,In Progress,Reliable Works Corporation,District Rural Development Agency (DRDA)
MPL-00007,Madhya Pradesh,Indore,Indore,S. Lalwani,Rural Connectivity & Roads,Construction of CC Road and Drainage Channel at Village-36,Construction of CC Road and Drainage Channel at Village-36,Village-36,Block-8,22.69625,75.72676,2568554.0,2566888.51,2380367.99,2023-03-28,2023-04-23,2023-05-17,2024-01-06,Completed,Vanguard Infra Solutions,Minor Irrigation Division
MPL-00008,Rajasthan,Jaipur,Jaipur,M. Joshi,Renewable Energy,Installation of Solar LED High-Mast Lighting System at Village-30,Installation of Solar LED High-Mast Lighting System at Village-30,Village-30,Block-3,26.89283,75.77342,757412.0,786556.34,700805.56,2024-09-22,2024-10-18,2024-11-23,,In Progress,Sai Urban Works Pvt Ltd,Minor Irrigation Division
MPL-00009,Gujarat,Rajkot,Rajkot,P. Rupala,Rural Connectivity & Roads,Widening of Rural Link Road connecting Village-130,Widening of Rural Link Road connecting Village-130,Village-130,Block-2,22.42945,70.83188,4554206.0,4417083.91,3698808.41,2023-05-25,2023-06-15,2023-08-03,2024-02-14,Completed,Surya Shakti Engineering,Public Works Department (PWD)
MPL-00010,Rajasthan,Jaipur,Jaipur,M. Joshi,Drinking Water & Sanitation,Installation of RO Water Purification Plant at Village-62,Installation of RO Water Purification Plant at Village-62,Village-62,Block-3,26.99215,75.67582,1094916.0,1143853.21,794576.2,2024-04-24,2024-05-12,2024-05-31,2024-12-13,Completed,Surya Shakti Engineering,Minor Irrigation Division
MPL-00011,Madhya Pradesh,Indore,Indore,S. Lalwani,Drinking Water & Sanitation,Drilling of Deep Borewell and Overhead Tank Setup at Village-52,Drilling of Deep Borewell and Overhead Tank Setup at Village-52,Village-52,Block-10,22.6059,75.77511,776858.0,769011.14,700342.22,2023-12-22,2024-01-18,2024-03-01,2024-08-23,Completed,Kisan Rural Developers,Public Works Department (PWD)
MPL-00012,Bihar,Patna,Patna Sahib,R. S. Prasad,Renewable Energy,Installation of Solar LED High-Mast Lighting System at Village-2,Installation of Solar LED High-Mast Lighting System at Village-2,Village-2,Block-9,25.59835,85.07114,437220.0,446307.22,313776.24,2023-02-25,2023-03-11,2023-03-28,2023-06-14,Completed,Surya Shakti Engineering,Rural Engineering Service (RES)
MPL-00013,Karnataka,Bengaluru Rural,Bengaluru Rural,C. N. Manjunath,Drinking Water & Sanitation,Construction of Public Toilets and Sanitation Block in Village-105,Construction of Public Toilets and Sanitation Block in Village-105,Village-105,Block-7,13.11651,77.71305,799659.0,767218.9,717849.75,2023-12-09,2023-12-29,2024-02-09,2024-04-22,Completed,Shree Ganesh Construction Co,Public Works Department (PWD)
MPL-00014,Gujarat,Rajkot,Rajkot,P. Rupala,Drinking Water & Sanitation,Installation of RO Water Purification Plant at Village-49,Installation of RO Water Purification Plant at Village-49,Village-49,Block-1,22.43088,70.78514,1062336.0,1056877.03,878089.22,2023-09-13,2023-10-13,2023-11-26,,In Progress,Reliable Works Corporation,Public Works Department (PWD)
MPL-00015,Uttar Pradesh,Varanasi,Varanasi,N. Modi,Community Infrastructure,Construction of Community Hall at Village Village-43,Construction of Community Hall at Village Village-43,Village-43,Block-7,25.16825,82.94103,1852312.0,1849652.29,1415396.41,2024-01-19,2024-02-15,2024-03-04,,In Progress,Surya Shakti Engineering,District Rural Development Agency (DRDA)
MPL-00016,Karnataka,Bengaluru Rural,Bengaluru Rural,C. N. Manjunath,Drinking Water & Sanitation,Installation of RO Water Purification Plant at Village-76,Installation of RO Water Purification Plant at Village-76,Village-76,Block-1,12.92954,77.56084,728275.0,762409.93,636333.26,2024-06-13,2024-07-09,2024-07-27,2024-10-09,Completed,Reliable Works Corporation,Rural Engineering Service (RES)
MPL-00017,Gujarat,Rajkot,Rajkot,P. Rupala,Drinking Water & Sanitation,Installation of RO Water Purification Plant at Village-18,Installation of RO Water Purification Plant at Village-18,Village-18,Block-9,22.33971,70.77797,746629.0,739444.6,733547.19,2024-07-17,2024-08-06,2024-09-05,2024-11-14,Completed,Local Panchayat Works Unit,Minor Irrigation Division
MPL-00018,Rajasthan,Jaipur,Jaipur,M. Joshi,Drinking Water & Sanitation,Drilling of Deep Borewell and Overhead Tank Setup at Village-81,Drilling of Deep Borewell and Overhead Tank Setup at Village-81,Village-81,Block-2,26.76519,75.82365,700280.0,683866.45,517691.43,2024-09-25,2024-10-22,2024-11-25,2025-02-11,Completed,Local Panchayat Works Unit,Public Works Department (PWD)
MPL-00019,Bihar,Patna,Patna Sahib,R. S. Prasad,Renewable Energy,Supply and installation of 25 Solar Street Lights in Village-34,Supply and installation of 25 Solar Street Lights in Village-34,Village-34,Block-9,25.57556,85.15057,989296.0,974358.5,712923.69,2023-08-29,2023-09-08,2023-10-16,,In Progress,Sai Urban Works Pvt Ltd,Minor Irrigation Division
MPL-00020,Rajasthan,Jaipur,Jaipur,M. Joshi,Community Infrastructure,Construction of Community Hall at Village Village-68,Construction of Community Hall at Village Village-68,Village-68,Block-8,26.82559,75.74016,1242071.0,1290476.09,1146089.97,2023-05-22,2023-06-09,2023-07-11,,In Progress,Sai Urban Works Pvt Ltd,Minor Irrigation Division
MPL-00021,Uttar Pradesh,Varanasi,Varanasi,N. Modi,Community Infrastructure,Installation of Public Shed and Seating Area at Village-109,Installation of Public Shed and Seating Area at Village-109,Village-109,Block-1,25.38997,82.9894,834817.0,816173.89,585259.9,2023-05-01,2023-05-14,2023-07-08,2023-10-17,Completed,Vanguard Infra Solutions,Minor Irrigation Division
