case_id,project_id,case_title,assigned_to,status,priority,created_at,updated_at,review_category
CASE-MPLADS-DEMO-000001,MPLADS-DEMO-000001,Audit Review: Low Fund Utilization in Community Hall Sanction,auditor_verma,UNDER_REVIEW,HIGH,2024-04-10T10:30:00,2024-04-13T11:30:00,Financial & Lifecycle Discrepancy Review
CASE-MPLADS-DEMO-000002,MPLADS-DEMO-000002,Audit Review: Spatial Proximity & Work Description Cluster,senior_auditor_patel,VERIFICATION_REQUIRED,HIGH,2024-04-11T10:30:00,2024-04-21T15:30:00,Spatial Proximity & Scope Duplication Review
CASE-MPLADS-DEMO-000004,MPLADS-DEMO-000004,Audit Review: Sub-Threshold Procurement Fragmentation Pattern,lead_investigator_rao,UNDER_REVIEW,HIGH,2024-04-12T10:30:00,2024-04-27T18:30:00,Procurement Fragmentation Review
CASE-MPLADS-DEMO-000007,MPLADS-DEMO-000007,Audit Review: Identical Evidence File Detected Across Works,auditor_verma,VERIFICATION_REQUIRED,HIGH,2024-04-13T10:30:00,2024-04-20T12:30:00,Photographic Evidence Integrity Review
CASE-MPLADS-DEMO-000010,MPLADS-DEMO-000010,Primary SIH Investigation: Cross-Domain Compound Risk,lead_investigator_rao,ESCALATED,CRITICAL,2024-04-14T10:30:00,2024-04-23T12:30:00,Multi-Modal Cross-Domain Investigation
CASE-MPLADS-DEMO-000401,MPLADS-DEMO-000401,Audit Review: Construction of High-Mast Light and Solar Substation Phase 1 at Village-CriticalSector-1,senior_auditor_patel,VERIFICATION_REQUIRED,CRITICAL,2024-04-15T10:30:00,2024-04-21T12:30:00,Multi-Modal Compound Risk Review
CASE-MPLADS-DEMO-000402,MPLADS-DEMO-000402,Audit Review: Construction of High-Mast Light and Solar Substation Phase 2 at Village-CriticalSector-1,lead_investigator_rao,ESCALATED,CRITICAL,2024-04-16T10:30:00,2024-05-03T12:30:00,Multi-Modal Compound Risk Review
CASE-MPLADS-DEMO-000403,MPLADS-DEMO-000403,Audit Review: Construction of High-Mast Light and Solar Substation Phase 3 at Village-CriticalSector-1,district_officer_sharma,ESCALATED,CRITICAL,2024-04-17T10:30:00,2024-04-20T13:30:00,Multi-Modal Compound Risk Review
CASE-MPLADS-DEMO-000404,MPLADS-DEMO-000404,Audit Review: Construction of High-Mast Light and Solar Substation Phase 1 at Village-CriticalSector-2,auditor_verma,UNDER_REVIEW,CRITICAL,2024-04-18T10:30:00,2024-05-04T18:30:00,Multi-Modal Compound Risk Review
CASE-MPLADS-DEMO-000405,MPLADS-DEMO-000405,Audit Review: Construction of High-Mast Light and Solar Substation Phase 2 at Village-CriticalSector-2,senior_auditor_patel,ESCALATED,CRITICAL,2024-04-19T10:30:00,2024-05-01T15:30:00,Multi-Modal Compound Risk Review
CASE-MPLADS-DEMO-000406,MPLADS-DEMO-000406,Audit Review: Construction of High-Mast Light and Solar Substation Phase 3 at Village-CriticalSector-2,lead_investigator_rao,VERIFICATION_REQUIRED,CRITICAL,2024-04-20T10:30:00,2024-05-06T13:30:00,Multi-Modal Compound Risk Review
CASE-MPLADS-DEMO-000407,MPLADS-DEMO-000407,Audit Review: Construction of High-Mast Light and Solar Substation Phase 1 at Village-CriticalSector-3,district_officer_sharma,VERIFICATION_REQUIRED,CRITICAL,2024-04-21T10:30:00,2024-04-29T13:30:00,Multi-Modal Compound Risk Review
CASE-MPLADS-DEMO-000408,MPLADS-DEMO-000408,Audit Review: Construction of High-Mast Light and Solar Substation Phase 2 at Village-CriticalSector-3,auditor_verma,ESCALATED,CRITICAL,2024-04-22T10:30:00,2024-04-29T17:30:00,Multi-Modal Compound Risk Review
