contractor_id,contractor_name,registration_no,entity_type,primary_district,primary_state,incorporation_year,contact_email,total_projects_count,total_sanctioned_amount
CONTRACTOR-DEMO-0001,Apex Infrastructure Ltd,REG-KA-2021-8007,CONTRACTOR,Dharwad,Karnataka,2021,contact@apexinfrastr-demo.in,85,102197000.0
CONTRACTOR-DEMO-0002,Shree Ganesh Construction Co,REG-KA-2010-2832,CONTRACTOR,Dharwad,Karnataka,2010,contact@shreeganeshc-demo.in,45,56723000.0
CONTRACTOR-DEMO-0003,National Civil Projects,REG-GU-2021-3442,CONTRACTOR,Surat,Gujarat,2021,contact@nationalcivi-demo.in,0,0.0
CONTRACTOR-DEMO-0004,Aditya Buildcon Pvt Ltd,REG-KA-2010-7049,CONTRACTOR,Dharwad,Karnataka,2010,contact@adityabuildc-demo.in,5,7980000.0
CONTRACTOR-DEMO-0005,Shanti Contractors,REG-TA-2018-3426,CONTRACTOR,Coimbatore,Tamil Nadu,2018,contact@shanticontra-demo.in,3,2890000.0
CONTRACTOR-DEMO-0006,Apex Civil Projects,REG-MA-2012-1685,CONTRACTOR,Bhopal,Madhya Pradesh,2012,contact@apexcivilpro-demo.in,1,1100000.0
CONTRACTOR-DEMO-0007,Vikas Civil Projects,REG-RA-2015-1653,CONTRACTOR,Jaipur,Rajasthan,2015,contact@vikascivilpr-demo.in,2,3830000.0
CONTRACTOR-DEMO-0008,Apex Projects Ltd,REG-OD-2015-4441,CONTRACTOR,Cuttack,Odisha,2015,contact@apexprojects-demo.in,6,10100000.0
CONTRACTOR-DEMO-0009,Golden Urban Works Pvt Ltd,REG-KE-2013-2684,CONTRACTOR,Wayanad,Kerala,2013,contact@goldenurbanw-demo.in,6,6630000.0
CONTRACTOR-DEMO-0010,Bharat Contractors,REG-RA-2018-7658,CONTRACTOR,Udaipur,Rajasthan,2018,contact@bharatcontra-demo.in,3,3100000.0
CONTRACTOR-DEMO-0011,Mahalaxmi Infrastructure Ltd,REG-TA-2021-3532,CONTRACTOR,Madurai,Tamil Nadu,2021,contact@mahalaxmiinf-demo.in,5,6940000.0
CONTRACTOR-DEMO-0012,Vanguard Rural Developers,REG-OD-2013-3662,CONTRACTOR,Ganjam,Odisha,2013,contact@vanguardrura-demo.in,5,18390000.0
CONTRACTOR-DEMO-0013,Bharat Engineering Works,REG-TE-2012-7755,CONTRACTOR,Nizamabad,Telangana,2012,contact@bharatengine-demo.in,4,3360000.0
CONTRACTOR-DEMO-0014,Surya Shakti Construction Co,REG-GU-2012-6442,CONTRACTOR,Rajkot,Gujarat,2012,contact@suryashaktic-demo.in,5,5410000.0
CONTRACTOR-DEMO-0015,Maruti Contractors,REG-TE-2016-5065,CONTRACTOR,Nizamabad,Telangana,2016,contact@maruticontra-demo.in,5,9380000.0
CONTRACTOR-DEMO-0016,Om Buildcon Pvt Ltd,REG-UT-2012-2771,CONTRACTOR,Gorakhpur,Uttar Pradesh,2012,contact@ombuildconpv-demo.in,4,7170000.0
CONTRACTOR-DEMO-0017,Vikas Engineers & Builders,REG-MA-2010-8711,CONTRACTOR,Indore,Madhya Pradesh,2010,contact@vikasenginee-demo.in,5,7070000.0
CONTRACTOR-DEMO-0018,Bharat Civil Projects,REG-UT-2013-8541,CONTRACTOR,Lucknow,Uttar Pradesh,2013,contact@bharatcivilp-demo.in,2,1720000.0
CONTRACTOR-DEMO-0019,Samriddhi Infrastructure Ltd,REG-RA-2014-4728,CONTRACTOR,Udaipur,Rajasthan,2014,contact@samriddhiinf-demo.in,4,7240000.0
CONTRACTOR-DEMO-0020,Universal Engineering Works,REG-UT-2010-4164,CONTRACTOR,Lucknow,Uttar Pradesh,2010,contact@universaleng-demo.in,1,1110000.0
CONTRACTOR-DEMO-0021,Apex Contractors,REG-MA-2015-5564,CONTRACTOR,Indore,Madhya Pradesh,2015,contact@apexcontract-demo.in,5,7470000.0
CONTRACTOR-DEMO-0022,Reliable Engineers & Builders,REG-OD-2011-5573,CONTRACTOR,Khordha,Odisha,2011,contact@reliableengi-demo.in,3,2660000.0
CONTRACTOR-DEMO-0023,Reliable Buildcon Pvt Ltd,REG-RA-2020-9346,CONTRACTOR,Udaipur,Rajasthan,2020,contact@reliablebuil-demo.in,3,5240000.0
CONTRACTOR-DEMO-0024,Modern Contractors,REG-MA-2020-9785,CONTRACTOR,Indore,Madhya Pradesh,2020,contact@moderncontra-demo.in,5,9420000.0
CONTRACTOR-DEMO-0025,Aditya Infra Solutions,REG-RA-2010-2889,CONTRACTOR,Jodhpur,Rajasthan,2010,contact@adityainfras-demo.in,7,10320000.0
CONTRACTOR-DEMO-0026,Gitanjali Buildcon Pvt Ltd,REG-OD-2014-3925,CONTRACTOR,Cuttack,Odisha,2014,contact@gitanjalibui-demo.in,8,9790000.0
CONTRACTOR-DEMO-0027,Modern Rural Developers,REG-TA-2014-1626,CONTRACTOR,Coimbatore,Tamil Nadu,2014,contact@modernrurald-demo.in,4,8920000.0
CONTRACTOR-DEMO-0028,Siddhartha Buildcon Pvt Ltd,REG-MA-2019-8119,CONTRACTOR,Nagpur,Maharashtra,2019,contact@siddharthabu-demo.in,3,6550000.0
CONTRACTOR-DEMO-0029,Pragati Construction Co,REG-RA-2021-6139,CONTRACTOR,Udaipur,Rajasthan,2021,contact@pragaticonst-demo.in,3,4070000.0
CONTRACTOR-DEMO-0030,Hindustan Civil Projects,REG-MA-2019-9379,CONTRACTOR,Bhopal,Madhya Pradesh,2019,contact@hindustanciv-demo.in,5,7670000.0
CONTRACTOR-DEMO-0031,Shiv Shakti Buildcon Pvt Ltd,REG-MA-2016-4114,CONTRACTOR,Nagpur,Maharashtra,2016,contact@shivshaktibu-demo.in,4,5030000.0
CONTRACTOR-DEMO-0032,Golden Rural Developers,REG-UT-2010-8144,CONTRACTOR,Gorakhpur,Uttar Pradesh,2010,contact@goldenrurald-demo.in,6,11230000.0
CONTRACTOR-DEMO-0033,Golden Buildcon Pvt Ltd,REG-GU-2018-9821,CONTRACTOR,Rajkot,Gujarat,2018,contact@goldenbuildc-demo.in,4,5630000.0
CONTRACTOR-DEMO-0034,Maruti Engineers & Builders,REG-KE-2021-4228,CONTRACTOR,Wayanad,Kerala,2021,contact@marutiengine-demo.in,2,1410000.0
CONTRACTOR-DEMO-0035,Surya Shakti Urban Works Pvt Ltd,REG-RA-2016-2146,CONTRACTOR,Udaipur,Rajasthan,2016,contact@suryashaktiu-demo.in,2,3580000.0
CONTRACTOR-DEMO-0036,Sai Projects Ltd,REG-KE-2015-6143,CONTRACTOR,Wayanad,Kerala,2015,contact@saiprojectsl-demo.in,8,10680000.0
CONTRACTOR-DEMO-0037,Classic Urban Works Pvt Ltd,REG-KE-2011-5920,CONTRACTOR,Wayanad,Kerala,2011,contact@classicurban-demo.in,7,10250000.0
CONTRACTOR-DEMO-0038,Om Infrastructure Ltd,REG-KA-2014-7691,CONTRACTOR,Mysuru,Karnataka,2014,contact@ominfrastruc-demo.in,3,9790000.0
CONTRACTOR-DEMO-0039,Vanguard Engineers & Builders,REG-RA-2016-5844,CONTRACTOR,Jodhpur,Rajasthan,2016,contact@vanguardengi-demo.in,3,3490000.0
CONTRACTOR-DEMO-0040,Balaji Rural Developers,REG-KA-2012-4143,CONTRACTOR,Dharwad,Karnataka,2012,contact@balajirurald-demo.in,4,4210000.0
CONTRACTOR-DEMO-0041,Om Engineers & Builders,REG-MA-2020-7211,CONTRACTOR,Bhopal,Madhya Pradesh,2020,contact@omengineersa-demo.in,4,10380000.0
CONTRACTOR-DEMO-0042,Balaji Construction Co,REG-KE-2021-3851,CONTRACTOR,Wayanad,Kerala,2021,contact@balajiconstr-demo.in,5,11850000.0
CONTRACTOR-DEMO-0043,Panchsheel Engineers & Builders,REG-TA-2019-5930,CONTRACTOR,Madurai,Tamil Nadu,2019,contact@panchsheelen-demo.in,6,9360000.0
CONTRACTOR-DEMO-0044,United Engineering Works,REG-MA-2018-1006,CONTRACTOR,Indore,Madhya Pradesh,2018,contact@unitedengine-demo.in,5,14780000.0
CONTRACTOR-DEMO-0045,Shiv Shakti Rural Developers,REG-RA-2014-4443,CONTRACTOR,Jaipur,Rajasthan,2014,contact@shivshaktiru-demo.in,6,9520000.0
